#separator \x09
#set_separator	,
#empty_field	(empty)
#unset_field	-
#path	dnsSummary
#open	2019-04-15-10-19-47
#fields	srcAddr	totalDnsReq	totalDnsFail	uniqueIpAddr	failureTypesDetected	freqOfFailedReq	totalNXDomainFail	totalServFail	totalRefused	dstAddr	failedDomain	passedDomain
#types	addr	count	count	count	set[string]	count	count	count	count	set[addr]	set[string]	set[string]
fe80::623e:9ca2:2633:3767	0	0	1	(empty)	0	0	0	0	ff02::fb	(empty)	(empty)
fe80::d978:59de:4f26:8683	0	0	1	(empty)	0	0	0	0	ff02::1:3	(empty)	(empty)
fe80::2397:2a1f:a7f5:9c0e	0	0	1	(empty)	0	0	0	0	ff02::fb	(empty)	(empty)
192.168.1.7	0	0	1	(empty)	0	0	0	0	224.0.0.251	(empty)	(empty)
fe80::ec91:68eb:2da:cdd5	0	0	1	(empty)	0	0	0	0	ff02::fb	(empty)	(empty)
192.168.1.88	0	0	1	(empty)	0	0	0	0	224.0.0.251	(empty)	(empty)
192.168.1.218	0	0	1	(empty)	0	0	0	0	224.0.0.251	(empty)	(empty)
fe80::f68e:38ff:feab:9139	0	0	1	(empty)	0	0	0	0	ff02::fb	(empty)	(empty)
192.168.1.217	0	0	3	(empty)	0	0	0	0	192.168.1.255,255.255.255.255,224.0.0.251	(empty)	(empty)
::	0	0	2	(empty)	0	0	0	0	ff02::16,ff02::1:ff53:ba5e	(empty)	(empty)
192.168.1.235	0	0	4	(empty)	0	0	0	0	192.168.1.255,224.0.0.252,255.255.255.255,224.0.0.251	(empty)	(empty)
fe80::5ef3:fcff:feba:f788	0	0	1	(empty)	0	0	0	0	ff02::fb	(empty)	(empty)
192.168.1.210	0	0	1	(empty)	0	0	0	0	224.0.0.251	(empty)	(empty)
192.168.1.118	0	0	1	(empty)	0	0	0	0	224.0.0.251	(empty)	(empty)
192.168.1.176	0	0	1	(empty)	0	0	0	0	224.0.0.251	(empty)	(empty)
192.168.1.213	0	0	1	(empty)	0	0	0	0	224.0.0.251	(empty)	(empty)
fe80::3513:a07:cd02:5d2b	0	0	1	(empty)	0	0	0	0	ff02::fb	(empty)	(empty)
fe80::c23f:d5ff:fe52:469	0	0	1	(empty)	0	0	0	0	ff02::fb	(empty)	(empty)
192.168.1.104	0	0	3	(empty)	0	0	0	0	192.168.1.255,255.255.255.255,224.0.0.251	(empty)	(empty)
192.168.1.182	0	0	1	(empty)	0	0	0	0	224.0.0.251	(empty)	(empty)
192.168.1.184	0	0	1	(empty)	0	0	0	0	224.0.0.251	(empty)	(empty)
fe80::7627:eaff:fe53:ba5e	0	0	4	(empty)	0	0	0	0	ff02::fb,ff02::1:3,ff02::2,ff02::16	(empty)	(empty)
fe80::a692:92c6:cfc4:7c05	0	0	1	(empty)	0	0	0	0	ff02::fb	(empty)	(empty)
192.168.1.220	0	0	1	(empty)	0	0	0	0	224.0.0.251	(empty)	(empty)
192.168.1.101	0	0	1	(empty)	0	0	0	0	224.0.0.251	(empty)	(empty)
10.90.90.90	0	0	1	(empty)	0	0	0	0	255.255.255.255	(empty)	(empty)
192.168.1.237	0	0	1	(empty)	0	0	0	0	224.0.0.251	(empty)	(empty)
192.168.1.150	0	0	1	(empty)	0	0	0	0	224.0.0.251	(empty)	(empty)
192.168.1.180	0	0	1	(empty)	0	0	0	0	224.0.0.251	(empty)	(empty)
192.168.1.173	0	0	3	(empty)	0	0	0	0	192.168.1.255,255.255.255.255,224.0.0.251	(empty)	(empty)
192.168.1.115	0	0	3	(empty)	0	0	0	0	192.168.1.255,224.0.0.252,224.0.0.251	(empty)	(empty)
192.168.1.30	0	0	1	(empty)	0	0	0	0	224.0.0.251	(empty)	(empty)
fe80::bcf6:699d:d9ab:29f6	0	0	1	(empty)	0	0	0	0	ff02::fb	(empty)	(empty)
fe80::e1ac:2715:45b6:f8fe	0	0	1	(empty)	0	0	0	0	ff02::fb	(empty)	(empty)
fe80::b80d:f9d6:7fca:af0d	0	0	2	(empty)	0	0	0	0	ff02::1,ff02::fb	(empty)	(empty)
192.168.1.120	0	0	1	(empty)	0	0	0	0	224.0.0.251	(empty)	(empty)
192.168.1.37	0	0	1	(empty)	0	0	0	0	224.0.0.251	(empty)	(empty)
192.168.1.135	0	0	1	(empty)	0	0	0	0	224.0.0.251	(empty)	(empty)
fe80::8a51:fbff:fe61:6f50	0	0	2	(empty)	0	0	0	0	ff02::1,ff02::fb	(empty)	(empty)
fe80::4421:12d2:9a79:7a1c	0	0	1	(empty)	0	0	0	0	ff02::fb	(empty)	(empty)
fe80::c60f:c1f7:92b1:2d53	0	0	1	(empty)	0	0	0	0	ff02::fb	(empty)	(empty)
fe80::7087:b554:32ea:bd72	0	0	1	(empty)	0	0	0	0	ff02::fb	(empty)	(empty)
192.168.1.175	0	0	3	(empty)	0	0	0	0	192.168.1.255,255.255.255.255,224.0.0.251	(empty)	(empty)
192.168.1.243	0	0	2	(empty)	0	0	0	0	192.168.1.255,224.0.0.251	(empty)	(empty)
fe80::8eec:4bff:fe7c:786d	0	0	1	(empty)	0	0	0	0	ff02::fb	(empty)	(empty)
fe80::ca9c:dcff:fea3:a079	0	0	1	(empty)	0	0	0	0	ff02::fb	(empty)	(empty)
192.168.1.250	0	0	1	(empty)	0	0	0	0	224.0.0.251	(empty)	(empty)
fe80::a150:4b7d:dc5f:5e03	0	0	1	(empty)	0	0	0	0	ff02::fb	(empty)	(empty)
0.0.0.0	0	0	1	(empty)	0	0	0	0	255.255.255.255	(empty)	(empty)
192.168.1.208	0	0	1	(empty)	0	0	0	0	224.0.0.251	(empty)	(empty)
fe80::7443:b3d0:65d5:92f6	0	0	1	(empty)	0	0	0	0	ff02::fb	(empty)	(empty)
fe80::6811:32b3:1f9e:cb8f	0	0	1	(empty)	0	0	0	0	ff02::fb	(empty)	(empty)
fe80::e2:4817:3fa3:a2ae	0	0	1	(empty)	0	0	0	0	ff02::fb	(empty)	(empty)
192.168.1.222	0	0	4	(empty)	0	0	0	0	192.168.1.255,255.255.255.255,224.0.0.252,224.0.0.251	(empty)	(empty)
fe80::f8bc:8ea7:42cf:de9b	0	0	1	(empty)	0	0	0	0	ff02::fb	(empty)	(empty)
fe80::562b:c49a:f330:90fe	0	0	1	(empty)	0	0	0	0	ff02::fb	(empty)	(empty)
fe80::7627:eaff:fe53:b351	0	0	2	(empty)	0	0	0	0	ff02::1,ff02::fb	(empty)	(empty)
fe80::eb36:fcd2:4f73:7f83	0	0	1	(empty)	0	0	0	0	ff02::fb	(empty)	(empty)
fe80::a248:1cff:fe9c:2819	0	0	1	(empty)	0	0	0	0	ff02::fb	(empty)	(empty)
fe80::4fed:c0ac:e279:2375	0	0	1	(empty)	0	0	0	0	ff02::fb	(empty)	(empty)
192.168.1.233	0	0	1	(empty)	0	0	0	0	224.0.0.251	(empty)	(empty)
192.168.1.225	0	0	1	(empty)	0	0	0	0	224.0.0.251	(empty)	(empty)
192.168.1.130	0	0	1	(empty)	0	0	0	0	224.0.0.251	(empty)	(empty)
fe80::e591:baf0:fb96:4d87	0	0	2	(empty)	0	0	0	0	ff02::fb,ff02::1:3	(empty)	(empty)
fe80::f663:ca56:8814:95a6	0	0	2	(empty)	0	0	0	0	ff02::1,ff02::fb	(empty)	(empty)
fe80::7627:eaff:fe26:28ea	0	0	1	(empty)	0	0	0	0	ff02::fb	(empty)	(empty)
fe80::f630:b9ff:fe73:6bf0	0	0	1	(empty)	0	0	0	0	ff02::fb	(empty)	(empty)
192.168.1.132	0	0	2	(empty)	0	0	0	0	192.168.1.255,224.0.0.251	(empty)	(empty)
192.168.1.244	0	0	1	(empty)	0	0	0	0	224.0.0.251	(empty)	(empty)
192.168.1.251	0	0	1	(empty)	0	0	0	0	224.0.0.251	(empty)	(empty)
fe80::eff9:f689:88e1:37f	0	0	1	(empty)	0	0	0	0	ff02::fb	(empty)	(empty)
192.168.1.29	0	0	1	(empty)	0	0	0	0	224.0.0.251	(empty)	(empty)
fe80::a631:5659:1ce4:fd34	0	0	1	(empty)	0	0	0	0	ff02::fb	(empty)	(empty)
fe80::d9c5:56a2:af88:cafb	0	0	1	(empty)	0	0	0	0	ff02::fb	(empty)	(empty)
fe80::7627:eaff:fe28:6f09	0	0	1	(empty)	0	0	0	0	ff02::fb	(empty)	(empty)
fe80::ec4:7aff:fee5:bc30	0	0	1	(empty)	0	0	0	0	ff02::fb	(empty)	(empty)
192.168.1.181	0	0	1	(empty)	0	0	0	0	224.0.0.251	(empty)	(empty)
192.168.2.1	0	0	1	(empty)	0	0	0	0	13.107.4.50	(empty)	(empty)
fe80::1b01:96a1:410:a0a	0	0	1	(empty)	0	0	0	0	ff02::fb	(empty)	(empty)
192.168.1.8	0	0	1	(empty)	0	0	0	0	255.255.255.255	(empty)	(empty)
